comment,author,date,num_likes
@구름솜이 GooReum&amp;Som 프로보다 잘안다고 착각하는 여윽시 반도 갓반인! 대단하다 진심ㅋ,오흐크,2023-01-27T13:46:56Z,0
콘테가 쓰리백으로 우승을 많이 한 감독임 퇴물 이라고 하기에는 2년전 우승 감독임 그리고 토트넘은 선수 수준이 최악이 맞지 센터백 윙백 그냥 쓰레기들 너무 많음 콘테가 토트넘 계약은 큰 실수 한거임 ㅋㅋㅋㅋ,마우스,2023-01-27T13:44:44Z,1
토트넘 빌드업 특징 패스앤런이 없다<br>패스 주고 나면 서서 빌드업에 관여를 안함<br>그러니 전진을 못하고 수비라인끼리 돌리다 못풀면 롱볼 &gt;&gt; 완전 뻥축구,슈팅,2023-01-27T13:28:24Z,0
토트넘은 하나의 팀이 아님 개인 기량에만 의존하는 팀임,이주성,2023-01-27T13:22:17Z,1
"시즌 득점왕 2명을 데리고도 팀 경기력이 최악이라건, 감독 책임이다.",우파상계동,2023-01-27T13:19:21Z,17
"누가 월클 뽕 맞고,<br>날두 마냥 압박 처 안하니까,<br>체계적인 압박 자체에 자꾸 구멍이 생기는 겁니다.<br>🕳",허새,2023-01-27T13:18:42Z,6
닭집은 센터백은 굼뱅이에다 윙백은 게으르고.... 뭔가 변화가 있기전까진 안보는게 심장에 좋음,아코,2023-01-27T13:17:43Z,6
윙백에서 열심히 뛰기는 하죠. 다만 킥능력이 안좋은거죠. 페리시치는 킥만 좋구요.,코리앤트,2023-01-27T15:38:15Z,0
게으른 윙백이 그정도 활동량이 어떻게 나옵니까ㅋㅋ,EAHCNUE,2023-01-27T14:37:25Z,0
토트넘 경기는 믿고 거른다,마파람,2023-01-27T13:17:33Z,2
썸네일봤을땐 다이어 생각하며 들어옴,비공,2023-01-27T13:16:47Z,0
현대축구에서 압박은 기본강해야<br>하는거 아님?,mori,2023-01-27T13:15:21Z,1
결국 다이어가 문제ㅋㅋㅋ 느리고 맨마킹 못하고 제공권도 평범하고 빌드업도 안좋고 롱패스도 요샌 그닥이고 이런 수비수를 주전으로 쓰는 게 근본적인 원인임. 벤데이비스도 마찬가지<br>내가 시즌 시작하기 전에 바스토니 김민재 둘 다 영입해야 한다고 했는데 그러면 지금 토트넘 우승경쟁하고 있었음ㅋㅋㅋ 바스토니는 그렇다 쳐도 김민재를 영입 안한건 천추의 한이 될거임,Wonsuk Chung,2023-01-27T13:14:19Z,7
